Date,MKT,SMB,HML,RMW,CMA,Momentum,XingQuan,YinHe,JiaoYin,MKT_C,SMB_C,HML_C,RMW_C,CMA_C,Momentum_C,XingQuan_C,YinHe_C,JiaoYin_C
19-Aug,-1.1103,-0.8899,-6.6915,1.6158,-3.864,6.94,2.91,4.7906,2.78,-1.4695,-3.3568,-7.6754,3.2539,-6.2613,6.99,4.77,16.297,8.56
19-Sep,0.5354,0.5783,-0.4517,1.7184,-1.8908,-1.05,-0.21,11.2918,2.66,-0.5749,-0.3116,-7.1432,3.3342,-5.7548,5.89,2.7,16.0824,5.44
19-Oct,1.0833,-0.4966,-2.1563,1.1169,-1.7261,2.55,0.48,2.8425,2.25,1.6187,0.0817,-2.608,2.8353,-3.6169,1.5,0.27,14.1343,4.91
19-Nov,-1.686,-1.3128,0.7057,1.0979,0.5475,-3.61,0.69,6.348,3.25,-0.6027,-1.8094,-1.4506,2.2148,-1.1786,-1.06,1.17,9.1905,5.5
19-Dec,6.7219,0.7606,-0.5667,0.1947,-1.697,4.83,6.27,9.4099,10.97,5.0359,-0.5522,0.139,1.2926,-1.1495,1.22,6.96,15.7579,14.22
20-Jan,-1.2892,2.2942,-2.8341,-0.7056,-1.9436,-1.25,5.01,24.444,7.55,5.4327,3.0548,-3.4008,-0.5109,-3.6406,3.58,11.28,33.8539,18.52
20-Feb,-1.151,1.4593,-3.0833,-1.6093,-2.9738,-4.83,2.34,13.6708,2.21,-2.4402,3.7535,-5.9174,-2.3149,-4.9174,-6.08,7.35,38.1148,9.76
20-Mar,-5.7328,0.6989,-0.0225,1.0206,-0.3858,-3.54,-6.59,-20.9089,-5.2,-6.8838,2.1582,-3.1058,-0.5887,-3.3596,-8.37,-4.25,-7.2381,-2.99
20-Apr,4.5886,-2.3721,-3.9637,3.3626,-4.3524,10.17,8.74,13.3447,7.17,-1.1442,-1.6732,-3.9862,4.3832,-4.7382,6.63,2.15,-7.5642,1.97
20-May,0.2031,0.7056,-7.2136,0.1431,0.0815,3.9,5.81,1.4837,0.41,4.7917,-1.6665,-11.1773,3.5057,-4.2709,14.07,14.55,14.8284,7.58
