Date,HSI
2021-11-05,-354.679687
2021-11-08,-106.740235
2021-11-09,49.361328
2021-11-10,183.009766
2021-11-11,251.849609
2021-11-12,79.980469
2021-11-15,62.939453
2021-11-16,322.869141
2021-11-17,-63.699219
2021-11-18,-330.359375
2021-11-19,-269.75
2021-11-22,-98.630859
2021-11-23,-299.759766
2021-11-24,33.919922
2021-11-25,54.660156
2021-11-26,-659.640625
2021-11-29,-228.279297
2021-11-30,-376.980468
2021-12-01,183.660156
2021-12-02,130.009766
2021-12-03,-22.240235
2021-12-06,-417.308594
2021-12-07,634.279297
2021-12-08,13.208985
2021-12-09,257.990234
2021-12-10,-259.138672
2021-12-13,-41.140625
2021-12-14,-318.630859
2021-12-15,-215.189453
2021-12-16,54.740234
2021-12-17,-282.869141
2021-12-20,-447.771484
2021-12-21,226.470703
2021-12-22,131
2021-12-23,91.310547
2021-12-24,30.119141
2021-12-28,56.800781
2021-12-29,-194.021484
2021-12-30,25.470703
2021-12-31,285.660156
2022-01-03,-122.919922
2022-01-04,15.089844
2022-01-05,-382.589844
2022-01-06,165.609375
2022-01-07,420.521484
2022-01-10,253.158204
2022-01-11,-7.478516
2022-01-12,663.109375
2022-01-13,27.599609
2022-01-14,-46.449218
2022-01-17,-165.291016
2022-01-18,-105.25
2022-01-19,15.070312
2022-01-20,824.5
2022-01-21,13.201172
2022-01-24,-309.089843
2022-01-25,-412.851563
2022-01-26,46.291016
2022-01-27,-482.900391
2022-01-28,-256.919922
2022-01-31,252.179688
2022-02-04,771.029297
2022-02-07,6.261718
2022-02-08,-250.060547
2022-02-09,500.5
2022-02-10,94.359375
2022-02-11,-17.689453
2022-02-14,-350.089843
2022-02-15,-200.859375
2022-02-16,363.189453
2022-02-17,73.86914
2022-02-18,-465.058593
2022-02-21,-157.640625
2022-02-22,-650.070313
2022-02-23,140.279297
2022-02-24,-758.71875
2022-02-25,-134.380859
2022-02-28,-54.160157
2022-03-01,48.691407
2022-03-02,-417.791016
2022-03-03,123.419922
2022-03-04,-562.050781
2022-03-07,-847.658204
2022-03-08,-291.761718
2022-03-09,-138.158203
2022-03-10,262.548828
2022-03-11,-336.470703
2022-03-14,-1022.128907
2022-03-15,-1116.580078
2022-03-16,1672.419922
2022-03-17,1413.730469
2022-03-18,-88.830078
2022-03-21,-191.060547
2022-03-22,667.939453
2022-03-23,264.800781
2022-03-24,-208.130859
2022-03-25,-541.06836
2022-03-28,280.089844
2022-03-29,242.660156
2022-03-30,304.398438
2022-03-31,-235.179688
2022-04-01,42.701172
2022-04-04,462.759766
2022-04-06,-421.791016
2022-04-07,-271.539062
2022-04-08,63.029297
2022-04-11,-663.708985
2022-04-12,110.830078
2022-04-13,55.238282
2022-04-14,143.710937
2022-04-19,-490.320312
2022-04-20,-83.089844
2022-04-21,-262.449219
2022-04-22,-43.701172
2022-04-25,-769.179687
2022-04-26,65.371094
2022-04-27,11.648437
2022-04-28,329.810547
2022-04-29,813.220703
2022-05-03,12.5
2022-05-04,-232.371094
2022-05-05,-76.11914
2022-05-06,-791.439453
2022-05-10,-368.271485
2022-05-11,190.88086
2022-05-12,-444.230469
2022-05-13,518.429687
2022-05-16,51.441407
2022-05-17,652.308593
2022-05-18,41.759766
2022-05-19,-523.599609
2022-05-20,596.560546
2022-05-23,-247.179687
2022-05-24,-357.960938
2022-05-25,59.169922
2022-05-26,-55.070312
2022-05-27,581.160156
2022-05-30,426.570313
2022-05-31,291.269531
2022-06-01,-120.259766
2022-06-02,-212.808594
2022-06-06,571.769532
2022-06-07,-122.230469
2022-06-08,482.919922
2022-06-09,-145.539063
2022-06-10,-62.871093
2022-06-13,-738.59961
2022-06-14,0.410156
2022-06-15,240.220704
2022-06-16,-462.78125
2022-06-17,229.570312
2022-06-20,88.910156
2022-06-21,395.679688
2022-06-22,-551.25
2022-06-23,265.529297
2022-06-24,445.191406
2022-06-27,510.458984
2022-06-28,189.451172
2022-06-29,-422.080078
2022-06-30,-137.101562
2022-07-04,-29.439454
2022-07-05,22.720704
2022-07-06,-266.410157
2022-07-07,56.919922
2022-07-08,82.199219
2022-07-11,-601.580078
2022-07-12,-279.458985
2022-07-13,-46.791015
2022-07-14,-46.738281
2022-07-15,-453.490235
2022-07-18,548.458985
2022-07-19,-185.119141
2022-07-20,229.160156
2022-07-21,-315.589844
2022-07-22,34.509766
2022-07-25,-46.201172
2022-07-26,342.941406
2022-07-27,-235.841796
2022-07-28,-47.359375
2022-07-29,-466.169922
2022-08-01,9.330078
2022-08-02,-476.628906
2022-08-03,77.878906
2022-08-04,406.949219
2022-08-05,27.90039
2022-08-08,-156.169922
2022-08-09,-42.330078
2022-08-10,-392.599609
2022-08-11,471.589844
2022-08-12,93.189453
2022-08-15,-134.759766
2022-08-16,-210.339844
2022-08-17,91.929688
2022-08-18,-158.539063
2022-08-19,9.119141
2022-08-22,-116.048828
2022-08-23,-153.730469
2022-08-24,-234.509766
2022-08-25,699.640625
2022-08-26,201.658204
2022-08-29,-146.81836
2022-08-30,-74.191406
2022-08-31,5.361328
2022-09-01,-357.080078
2022-09-02,-145.220703
2022-09-05,-226.390625
2022-09-06,-22.96875
2022-09-07,-158.429688
2022-09-08,-189.68164
2022-09-09,507.630859
2022-09-13,-35.390625
2022-09-14,-479.759766
2022-09-15,83.28125
2022-09-16,-168.691406
2022-09-19,-195.71875
2022-09-20,215.449219
2022-09-21,-336.800781
2022-09-22,-296.669922
2022-09-23,-214.679688
2022-09-26,-78.128906
2022-09-27,5.169922
2022-09-28,-609.429688
2022-09-29,-85.011718
2022-09-30,56.960937
2022-10-03,-143.320312
2022-10-05,1008.460937
2022-10-06,-75.820312
2022-10-07,-272.09961
2022-10-10,-523.390625
2022-10-11,-384.300781
2022-10-12,-131.330078
2022-10-13,-311.919922
2022-10-14,198.580078
2022-10-17,25.210938
2022-10-18,301.679687
2022-10-19,-403.300781
2022-10-20,-231.05957
2022-10-21,-69.09961
2022-10-24,-1030.429687
2022-10-25,-15.100586
2022-10-26,152.080078
2022-10-27,110.270508
2022-10-28,-564.88086
2022-10-31,-176.040039
2022-11-01,768.25
2022-11-02,371.900391
2022-11-03,-487.679688
2022-11-04,903
