Date,HSI
2012-11-06,-61.97070 
2012-11-07,155.41992 
2012-11-08,-532.93945 
2012-11-09,-182.52930 
2012-11-12,45.91992 
2012-11-13,-241.65039 
2012-11-14,253.33984 
2012-11-15,-333.06055 
2012-11-16,50.08008 
2012-11-19,103.05078 
2012-11-20,-33.78125 
2012-11-21,296.08008 
2012-11-22,218.83984 
2012-11-23,170.78125 
2012-11-26,-52.16992 
2012-11-27,-17.78125 
2012-11-28,-135.04883 
2012-11-29,213.91016 
2012-11-30,107.50000 
2012-12-03,-262.54102 
2012-12-04,32.12109 
2012-12-05,470.93945 
2012-12-06,-21.09961 
2012-12-07,-58.64063 
2012-12-10,85.55078 
2012-12-11,47.21875 
2012-12-12,179.41016 
2012-12-13,-57.76953 
2012-12-14,160.40039 
2012-12-17,-92.37109 
2012-12-18,-18.87891 
2012-12-19,128.63867 
2012-12-20,36.41016 
2012-12-21,-153.49023 
2012-12-24,34.89063 
2012-12-27,78.59961 
2012-12-28,46.81055 
2012-12-31,-9.66992 
2013-01-02,655.06055 
2013-01-03,86.61914 
2013-01-04,-67.50977 
2013-01-07,-1.33984 
2013-01-08,-218.56055 
2013-01-09,107.28125 
2013-01-10,135.83984 
2013-01-11,-90.24023 
2013-01-14,149.18945 
2013-01-15,-31.75000 
2013-01-16,-24.51953 
2013-01-17,-17.23047 
2013-01-18,262.01953 
2013-01-21,-10.86914 
2013-01-22,68.08008 
2013-01-23,-23.89063 
2013-01-24,-36.19922 
2013-01-25,-18.47070 
2013-01-28,91.45117 
2013-01-29,-16.71094 
2013-01-30,166.89063 
2013-01-31,-92.53125 
2013-02-01,-7.68945 
2013-02-04,-36.83008 
2013-02-05,-536.48047 
2013-02-06,108.40039 
2013-02-07,-79.92969 
2013-02-08,38.16016 
2013-02-14,198.08984 
2013-02-15,31.31055 
2013-02-18,-62.62109 
2013-02-19,-238.02930 
2013-02-20,163.50000 
2013-02-21,-400.74023 
2013-02-22,-124.23047 
2013-02-25,37.64063 
2013-02-26,-300.39063 
2013-02-27,57.32031 
2013-02-28,443.25977 
2013-03-01,-140.04883 
2013-03-04,-342.41016 
2013-03-05,22.68945 
2013-03-06,217.33984 
2013-03-07,-6.40039 
2013-03-08,320.50977 
2013-03-11,-1.12891 
2013-03-12,-200.22070 
2013-03-13,-333.94922 
2013-03-14,62.52930 
2013-03-15,-86.07031 
2013-03-18,-449.75000 
2013-03-19,-41.50000 
2013-03-20,214.58008 
2013-03-21,-30.55859 
2013-03-22,-110.58008 
2013-03-25,135.84961 
2013-03-26,59.92969 
2013-03-27,153.74024 
2013-03-28,-165.18945 
2013-04-02,68.18945 
2013-04-03,-30.33008 
2013-04-05,-610.58984 
2013-04-08,-8.84961 
2013-04-09,152.28906 
2013-04-10,164.22070 
2013-04-11,66.70898 
2013-04-12,-12.21875 
2013-04-15,-316.38086 
2013-04-16,-100.64063 
2013-04-17,-102.35938 
2013-04-18,-57.15039 
2013-04-19,501.05078 
2013-04-22,30.79883 
2013-04-23,-237.75977 
2013-04-24,376.44141 
2013-04-25,218.18945 
2013-04-26,146.47070 
2013-04-29,33.05859 
2013-04-30,156.24024 
2013-05-02,-68.70899 
2013-05-03,21.66016 
2013-05-06,225.12891 
2013-05-07,132.00000 
2013-05-08,197.25977 
2013-05-09,-32.86914 
2013-05-10,109.74023 
2013-05-13,-331.41016 
2013-05-14,-59.53125 
2013-05-15,113.96094 
2013-05-16,38.43945 
2013-05-20,410.34961 
2013-05-21,-126.66016 
2013-05-22,-105.28906 
2013-05-23,-591.40039 
2013-05-24,-51.00977 
2013-05-27,67.38086 
2013-05-28,238.19922 
2013-05-29,-369.32031 
2013-05-30,-70.61914 
2013-05-31,-92.15039 
2013-06-03,-109.97070 
2013-06-04,3.33008 
2013-06-05,-216.27930 
2013-06-06,-230.81055 
2013-06-07,-263.16992 
2013-06-10,39.83008 
2013-06-11,-260.42969 
2013-06-13,-467.62109 
2013-06-14,82.10156 
2013-06-17,256.75977 
2013-06-18,-0.01953 
2013-06-19,-238.99023 
2013-06-20,-604.02148 
2013-06-21,-119.55859 
2013-06-24,-449.33008 
2013-06-25,41.74023 
2013-06-26,482.83008 
2013-06-27,101.52930 
2013-06-28,363.20899 
2013-07-02,-144.63867 
2013-07-03,-511.33984 
2013-07-04,321.35938 
2013-07-05,386.00000 
2013-07-08,-272.48047 
2013-07-09,100.82031 
2013-07-10,221.55078 
2013-07-11,532.92969 
2013-07-12,-160.21094 
2013-07-15,26.03125 
2013-07-16,9.07031 
2013-07-17,59.48828 
2013-07-18,-26.64844 
2013-07-19,17.19922 
2013-07-22,54.08008 
2013-07-23,498.91992 
2013-07-24,53.50977 
2013-07-25,-67.96875 
2013-07-26,67.98828 
2013-07-29,-118.79883 
2013-07-30,103.81055 
2013-07-31,-70.30078 
2013-08-01,205.12891 
2013-08-02,102.18164 
2013-08-05,31.03906 
2013-08-06,-298.31055 
2013-08-07,-334.85938 
2013-08-08,67.04102 
2013-08-09,151.67969 
2013-08-12,463.71875 
2013-08-13,269.85156 
2013-08-14,#VALUE!
2013-08-15,#VALUE!
2013-08-16,-21.43945 
2013-08-19,-54.11133 
2013-08-20,-493.41016 
2013-08-21,-152.55859 
2013-08-22,77.66992 
2013-08-23,-31.89063 
2013-08-26,141.81055 
2013-08-27,-130.55078 
2013-08-28,-350.11914 
2013-08-29,180.12891 
2013-08-30,26.58984 
2013-09-02,443.97070 
2013-09-03,219.24023 
2013-09-04,-68.35938 
2013-09-05,271.75000 
2013-09-06,23.25000 
2013-09-09,129.42969 
2013-09-10,226.00000 
2013-09-11,-39.50977 
2013-09-12,16.58008 
2013-09-13,-38.44141 
2013-09-16,337.13086 
2013-09-17,-71.89063 
2013-09-18,-63.07031 
2013-09-19,385.06055 
2013-09-23,-130.97070 
2013-09-24,-192.50000 
2013-09-25,30.59180 
2013-09-26,-84.60156 
2013-09-27,82.00977 
2013-09-30,-347.17969 
2013-10-02,124.62109 
2013-10-03,229.91992 
2013-10-04,-75.86133 
2013-10-07,-164.58984 
2013-10-08,204.90039 
2013-10-09,-144.87891 
2013-10-10,-82.66992 
2013-10-11,267.01953 
2013-10-15,118.19922 
2013-10-16,-108.18945 
2013-10-17,-133.44922 
2013-10-18,245.21875 
2013-10-21,98.05078 
2013-10-22,-122.16016 
2013-10-23,-316.04102 
2013-10-24,-164.12891 
2013-10-25,-137.48047 
2013-10-28,108.24023 
2013-10-29,39.95899 
2013-10-30,457.48047 
2013-10-31,-97.65039 
2013-11-01,43.41992 
2013-11-04,-60.16992 
2013-11-05,-150.66992 
2013-11-06,-2.00977 
2013-11-07,-155.91016 
2013-11-08,-136.63867 
2013-11-11,325.45898 
2013-11-12,-168.43945 
2013-11-13,-437.58008 
2013-11-14,185.32031 
2013-11-15,383.00000 
2013-11-18,627.91016 
2013-11-19,-2.25000 
2013-11-20,43.04883 
2013-11-21,-120.57031 
2013-11-22,115.99023 
2013-11-25,-11.83008 
2013-11-26,-3.16992 
2013-11-27,125.07031 
2013-11-28,-17.25977 
2013-11-29,92.19922 
2013-12-02,157.26172 
2013-12-03,-128.08008 
2013-12-04,-181.77148 
2013-12-05,-16.12891 
2013-12-06,30.52930 
2013-12-09,68.07031 
2013-12-10,-66.98047 
2013-12-11,-405.94922 
2013-12-12,-120.12109 
2013-12-13,27.84180 
2013-12-16,-131.30078 
2013-12-17,-45.42969 
2013-12-18,74.58984 
2013-12-19,-255.07031 
2013-12-20,-76.57031 
2013-12-23,109.38086 
2013-12-24,257.99023 
2013-12-27,63.68945 
2013-12-30,1.62891 
2013-12-31,61.52148 
2014-01-02,33.66016 
2014-01-03,-522.77148 
2014-01-06,-133.12891 
2014-01-07,28.62891 
2014-01-08,283.81055 
2014-01-09,-209.25977 
2014-01-10,58.91992 
2014-01-13,42.50977 
2014-01-14,-97.48047 
2014-01-15,110.72070 
2014-01-16,84.41016 
2014-01-17,146.93945 
2014-01-20,-204.40039 
2014-01-21,104.16992 
2014-01-22,49.13086 
2014-01-23,-348.34961 
2014-01-24,-283.83984 
2014-01-27,-473.96094 
2014-01-28,-15.45898 
2014-01-29,180.96875 
2014-01-30,-106.18945 
2014-02-04,-637.65039 
2014-02-05,-128.38867 
2014-02-06,153.75000 
2014-02-07,213.71875 
2014-02-10,-57.58984 
2014-02-11,383.72070 
2014-02-12,322.80859 
2014-02-13,-120.25977 
2014-02-14,132.88086 
2014-02-17,237.52930 
2014-02-18,51.78125 
2014-02-19,76.79883 
2014-02-20,-270.43945 
2014-02-21,174.16016 
2014-02-24,-179.67969 
2014-02-25,-71.36133 
2014-02-26,120.24023 
2014-02-27,390.74024 
2014-02-28,8.78125 
2014-03-03,-336.29102 
2014-03-04,156.96094 
2014-03-05,-77.85156 
2014-03-06,123.19141 
2014-03-07,-42.48047 
2014-03-10,-395.56055 
2014-03-11,4.67969 
2014-03-12,-367.66016 
2014-03-13,-145.86914 
2014-03-14,-216.58984 
2014-03-17,-65.54102 
2014-03-18,109.55078 
2014-03-19,-14.81055 
2014-03-20,-386.52930 
2014-03-21,254.53906 
2014-03-24,409.75000 
2014-03-25,-114.12891 
2014-03-26,155.42969 
2014-03-27,-53.30078 
2014-03-28,231.08008 
2014-03-31,85.53125 
2014-04-01,297.47852 
2014-04-02,75.40039 
2014-04-03,41.14063 
2014-04-04,-55.00000 
2014-04-07,-132.92969 
2014-04-08,219.82031 
2014-04-09,246.19922 
2014-04-10,343.79102 
2014-04-11,-183.32031 
2014-04-14,35.16016 
2014-04-15,-367.54102 
2014-04-16,24.75000 
2014-04-17,64.23047 
2014-04-22,-29.56055 
2014-04-23,-221.03906 
2014-04-24,53.16016 
2014-04-25,-339.27148 
2014-04-28,-91.00000 
2014-04-29,321.36133 
2014-04-30,-319.91992 
2014-05-02,126.69922 
2014-05-05,-284.33984 
2014-05-07,-230.07031 
2014-05-08,90.85938 
2014-05-09,25.87109 
2014-05-12,398.61914 
2014-05-13,90.77148 
2014-05-14,230.38867 
2014-05-15,148.08984 
2014-05-16,-17.94922 
2014-05-19,-8.41016 
2014-05-20,130.17969 
2014-05-21,1.83984 
2014-05-22,117.24024 
2014-05-23,12.09961 
2014-05-26,-2.67969 
2014-05-27,-18.87891 
2014-05-28,135.72852 
2014-05-29,-69.88867 
2014-05-30,71.50977 
2014-06-03,209.38867 
2014-06-04,-139.32813 
2014-06-05,-42.05078 
2014-06-06,-158.66016 
2014-06-09,166.47070 
2014-06-10,198.26953 
2014-06-11,-58.45117 
2014-06-12,-82.26953 
2014-06-13,144.15039 
2014-06-16,-18.50000 
2014-06-17,-97.08008 
2014-06-18,-21.86914 
2014-06-19,-13.99023 
2014-06-20,26.33008 
2014-06-23,-389.25000 
2014-06-24,75.83008 
2014-06-25,-13.94141 
2014-06-26,331.13086 
2014-06-27,23.68945 
2014-06-30,-30.79883 
2014-07-02,358.89844 
2014-07-03,-18.17969 
2014-07-04,14.91992 
2014-07-07,-5.43945 
2014-07-08,0.46094 
2014-07-09,-365.31055 
2014-07-10,62.91992 
2014-07-11,-5.54102 
2014-07-14,113.22070 
2014-07-15,113.29102 
2014-07-16,63.31836 
2014-07-17,-2.41016 
2014-07-18,-66.08008 
2014-07-21,-67.64844 
2014-07-22,394.96875 
2014-07-23,189.75977 
2014-07-24,169.63086 
2014-07-25,74.50977 
2014-07-28,212.62109 
2014-07-29,211.89844 
2014-07-30,91.68164 
2014-07-31,24.63867 
2014-08-01,-224.41992 
2014-08-04,67.65039 
2014-08-05,48.17969 
2014-08-06,-64.12891 
2014-08-07,-196.57031 
2014-08-08,-56.15039 
2014-08-11,314.60938 
2014-08-12,43.39063 
2014-08-13,200.92969 
2014-08-14,-88.98047 
2014-08-15,153.58008 
2014-08-18,0.52149 
2014-08-19,167.48828 
2014-08-20,36.81055 
2014-08-21,-165.66016 
2014-08-22,118.13086 
2014-08-25,54.67969 
2014-08-26,-92.41016 
2014-08-27,-155.75000 
