firm_code,year,TFP,Data,Industry,SOE,Incentive_F,Incentive_M,Senior_Edu,CEO_Edu,Ln_Age
107038047,2017,0.60431057,0.40277779,"Computer, communications and other electronic equipment",0,0.45833334,0.39583334,13.333333,1,2.8332133
107038051,2017,-3.1729524,0.1388889,Nonmetallic mineral products industry,0,,,6,0,2.7080503
107038055,2017,-0.44845808,0.59722221,"Computer, communications and other electronic equipment",0,0.52083331,0.52083331,10.5,0,1.9459101
107038057,2017,0.24209277,0.44444445,"Computer, communications and other electronic equipment",0,0.64583331,0.52083331,12,1,1.9459101
107038060,2017,,,Textile Industry,0,0.5,,,,1.3862944
107038064,2017,-1.4284742,0.6111111,Paper and paper product industry,0,0.66666669,0.60416669,14,1,1.3862944
107038066,2017,1.0043341,0.4861111,Nonmetallic mineral products industry,0,0.60416669,0.60416669,11.25,1,0.69314718
108039001,2017,0.083692089,0.50694442,Electrical machinery and equipment,0,0.58333331,,13,0,2.7080503
108039004,2017,0.11687097,0.5,Electrical machinery and equipment,0,0.6875,0.75,13,1,3.0445225
108039007,2017,-0.1661765,0.6111111,Nonferrous metal industry,0,,0.60416669,12,1,2.8903718
108039008,2017,-0.013529552,0.5625,Electrical machinery and equipment,0,,0.5,12,0,2.3978953
108039011,2017,0.73895532,0.68055558,Electrical machinery and equipment,0,0.25,0.41666669,13,0,2.6390574
108039014,2017,,0.56597221,Electrical machinery and equipment,0,,,9,0,1.6094379
108039017,2017,0.25078523,0.6388889,Electrical machinery and equipment,0,0.66666669,0.58333331,12,0,1.7917595
108039018,2017,1.268942,0.56944442,Electrical machinery and equipment,0,0.54166669,0.54166669,12,0,2.1972246
108039019,2017,1.0203611,0.5451389,Electrical machinery and equipment,0,0.75,0.75,12,0,2.3978953
108039026,2017,0.31261998,0.4861111,Farm and sideline food processing,0,0.375,0.20833334,14,1,2.7080503
108039028,2017,0.014543699,0.59722221,Nonmetallic mineral products industry,0,0.1875,0.4375,12,1,2.3025851
108039029,2017,-1.721547,0.50347221,Electrical machinery and equipment,0,0.4375,0.25,10,0,2.6390574
108039032,2017,0.34299916,0.59027779,Furniture manufacturing,0,0.5,0.5,12,0,2.9444389
