id_n,year,income,debt_r,FinanceCF,Inv,lAsset/Size,cash,Inv_income,OperationCF,M&A
3323,2011,0.73148 ,0.58568 ,0.74245 ,0.03887 ,23.69722 ,0.12759 ,0.18803 ,1,1
1211,2015,0.52158 ,0.58251 ,1.20256 ,0.02749 ,22.70784 ,0.00060 ,-0.03337 ,1,1
1211,2018,0.60276 ,0.58251 ,0.53828 ,0.00923 ,22.70784 ,0.00060 ,-0.02719 ,2,0
1928,2015,5.51866 ,0.57144 ,-7.38558 ,0.00000 ,19.40082 ,0.08047 ,0.00000 ,7,0
3323,2012,0.32975 ,0.56234 ,0.90068 ,0.00377 ,24.12761 ,0.01193 ,0.18804 ,0,1
2269,2019,5.57979 ,0.56194 ,26.80770 ,22.17098 ,19.12335 ,0.05727 ,-0.01545 ,6,0
1044,2013,0.09463 ,0.55450 ,0.11129 ,0.00000 ,24.69361 ,0.26051 ,0.00000 ,0,0
992,2018,0.34358 ,0.55431 ,1.96088 ,0.22531 ,19.91559 ,0.24167 ,-0.00562 ,-2,0
1211,2011,0.84339 ,0.55086 ,2.31223 ,0.27839 ,21.44025 ,0.05614 ,0.00059 ,3,1
2600,2010,0.51332 ,0.53272 ,1.01060 ,0.31603 ,21.71245 ,0.02228 ,0.17620 ,3,0
2600,2007,5.35853 ,0.53272 ,-1.95809 ,0.00074 ,21.71245 ,0.02228 ,0.08872 ,4,1
3323,2019,54.57526 ,0.52809 ,-66.62892 ,14.94511 ,20.03599 ,0.10609 ,13.43276 ,126,1
902,2010,0.18720 ,0.52582 ,0.58726 ,0.00165 ,23.82536 ,0.10014 ,0.02827 ,1,1
902,2005,0.29635 ,0.52582 ,0.31849 ,0.11889 ,23.82536 ,0.10014 ,0.03170 ,0,1
1044,2016,0.11710 ,0.52446 ,-0.06141 ,,24.38513 ,0.08360 ,,0,0
992,2019,1.87403 ,0.51810 ,0.26834 ,0.17189 ,19.94047 ,0.21479 ,-0.02521 ,3,0
941,2013,137.24686 ,0.51446 ,-68.74590 ,120.29904 ,20.86774 ,0.00129 ,6.11202 ,195,1
992,2016,-0.78260 ,0.50750 ,-0.86254 ,0.19577 ,19.68413 ,0.31394 ,-0.03136 ,1,0
1186,2008,0.62798 ,0.50546 ,4.43772 ,0.15876 ,22.70778 ,0.16237 ,-0.00135 ,1,0
3323,2018,82.38924 ,0.49599 ,-140.94035 ,8.14912 ,19.32538 ,0.02901 ,16.53027 ,196,0
2269,2017,4.86335 ,0.49023 ,35.70090 ,30.58558 ,17.94978 ,0.01009 ,,6,0
2333,2019,5.50012 ,0.48557 ,4.25291 ,27.87666 ,20.64784 ,0.15987 ,0.06331 ,15,0
2600,2003,3.68736 ,0.47659 ,-0.24450 ,0.04865 ,20.95053 ,0.13620 ,0.00095 ,5,0
1928,2017,9.62963 ,0.47384 ,-13.07852 ,,18.94393 ,0.08466 ,,16,0
992,2017,1.17935 ,0.47351 ,0.34928 ,0.29876 ,19.84480 ,0.35636 ,0.05154 ,5,0
1186,2009,0.96950 ,0.46621 ,0.16425 ,0.25957 ,22.87139 ,0.11142 ,0.00009 ,2,0
3323,2016,15.44503 ,0.45137 ,-13.06979 ,10.17173 ,19.38727 ,0.04079 ,16.73802 ,59,1
2333,2018,7.57523 ,0.44936 ,-7.60303 ,31.87906 ,20.56665 ,0.24056 ,0.32425 ,23,0
2269,2018,4.01025 ,0.44893 ,17.43228 ,5.74696 ,19.03022 ,0.11069 ,,4,0
1088,2015,1.41201 ,0.44602 ,-0.94722 ,0.00654 ,23.91979 ,0.06084 ,0.01751 ,2,0
2600,2004,5.73775 ,0.44234 ,2.96584 ,0.03552 ,21.12178 ,0.11941 ,-0.00265 ,6,0
1211,2013,0.15798 ,0.43509 ,0.85586 ,0.03740 ,22.38471 ,0.02368 ,-0.00919 ,0,0
1211,2008,0.21564 ,0.43476 ,0.04886 ,0.01863 ,22.56781 ,0.02101 ,0.00000 ,0,0
2600,2005,6.92696 ,0.41030 ,1.14124 ,0.08330 ,21.06425 ,0.10770 ,0.01943 ,6,0
3323,2017,42.00430 ,0.39104 ,-72.34663 ,1.98819 ,19.24340 ,0.03240 ,18.82427 ,98,0
2333,2016,13.77791 ,0.38379 ,-1.23212 ,23.32796 ,20.62457 ,0.37630 ,0.03350 ,10,1
2600,2008,0.07970 ,0.38111 ,17.20072 ,0.15964 ,21.17182 ,0.13879 ,0.00748 ,2,1
2600,2006,10.71509 ,0.38111 ,-0.49468 ,0.41523 ,21.17182 ,0.15225 ,0.05985 ,8,0
1800,2008,24.12877 ,0.38033 ,53.71847 ,4.75654 ,19.82540 ,0.56567 ,-0.18899 ,-3,0
1800,2010,30.56409 ,0.38033 ,19.28141 ,4.25094 ,19.82540 ,0.56567 ,0.28471 ,31,0
