Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,3.180000,3.230000,3.160000,3.210000,3.143559,53584796
2023-01-04,3.210000,3.240000,3.190000,3.220000,3.153352,50696849
2023-01-05,3.220000,3.250000,3.210000,3.230000,3.163145,52449650
2023-01-06,3.240000,3.260000,3.210000,3.210000,3.143559,49646610
2023-01-09,3.200000,3.260000,3.200000,3.250000,3.182731,61113762
2023-01-10,3.250000,3.250000,3.190000,3.190000,3.123973,62529499
2023-01-11,3.190000,3.220000,3.190000,3.190000,3.123973,34636928
2023-01-12,3.200000,3.200000,3.170000,3.190000,3.123973,32509534
2023-01-13,3.180000,3.210000,3.170000,3.200000,3.133766,30227000
2023-01-16,3.200000,3.250000,3.190000,3.230000,3.163145,70640158
2023-01-17,3.230000,3.250000,3.230000,3.250000,3.182731,39286225
2023-01-18,3.250000,3.300000,3.240000,3.280000,3.212110,55575959
2023-01-19,3.270000,3.300000,3.260000,3.290000,3.221903,32637568
2023-01-20,3.290000,3.380000,3.290000,3.380000,3.310040,74918435
2023-01-30,3.410000,3.430000,3.340000,3.340000,3.270868,74093766
2023-01-31,3.340000,3.390000,3.330000,3.370000,3.300247,58206182
2023-02-01,3.370000,3.460000,3.360000,3.440000,3.368798,99352910
2023-02-02,3.440000,3.470000,3.410000,3.440000,3.368798,78149295
2023-02-03,3.440000,3.450000,3.340000,3.370000,3.300247,86329146
2023-02-06,3.360000,3.390000,3.330000,3.370000,3.300247,43431851
2023-02-07,3.380000,3.420000,3.360000,3.410000,3.339419,58624479
2023-02-08,3.410000,3.420000,3.350000,3.360000,3.290454,41949573
2023-02-09,3.350000,3.390000,3.340000,3.360000,3.290454,74302938
2023-02-10,3.360000,3.380000,3.350000,3.360000,3.290454,45462815
2023-02-13,3.350000,3.410000,3.330000,3.380000,3.310040,70623402
2023-02-14,3.380000,3.410000,3.370000,3.400000,3.329626,59394897
2023-02-15,3.390000,3.400000,3.340000,3.360000,3.290454,65586974
2023-02-16,3.360000,3.410000,3.310000,3.330000,3.261075,97348467
2023-02-17,3.330000,3.360000,3.310000,3.320000,3.251282,55198572
2023-02-20,3.320000,3.440000,3.320000,3.430000,3.359005,121024037
2023-02-21,3.440000,3.500000,3.430000,3.480000,3.407970,115890026
2023-02-22,3.460000,3.490000,3.450000,3.460000,3.388384,54824770
2023-02-23,3.460000,3.470000,3.420000,3.450000,3.378591,50170143
2023-02-24,3.440000,3.450000,3.390000,3.420000,3.349212,57085915
2023-02-27,3.410000,3.430000,3.370000,3.380000,3.310040,56762247
2023-02-28,3.390000,3.420000,3.360000,3.410000,3.339419,50056497
2023-03-01,3.410000,3.480000,3.400000,3.480000,3.407970,119833801
2023-03-02,3.480000,3.620000,3.460000,3.580000,3.505900,223498603
2023-03-03,3.580000,3.710000,3.570000,3.690000,3.613624,247677025
2023-03-06,3.710000,3.780000,3.610000,3.640000,3.564658,172971218
2023-03-07,3.640000,3.890000,3.630000,3.720000,3.643003,346107158
2023-03-08,3.690000,3.740000,3.630000,3.690000,3.613624,149169024
2023-03-09,3.710000,3.780000,3.660000,3.730000,3.652796,162755227
2023-03-10,3.680000,3.700000,3.620000,3.620000,3.545072,139046294
2023-03-13,3.660000,3.740000,3.640000,3.720000,3.643003,163262292
2023-03-14,3.710000,3.910000,3.680000,3.790000,3.711554,314591643
2023-03-15,3.790000,3.930000,3.700000,3.890000,3.809484,317428749
2023-03-16,3.850000,3.950000,3.830000,3.860000,3.780105,263953845
2023-03-17,3.890000,4.150000,3.870000,4.070000,3.985758,340446910
2023-03-20,4.070000,4.230000,3.930000,3.970000,3.887828,353472444
2023-03-21,3.930000,4.030000,3.850000,3.900000,3.819277,223304470
2023-03-22,3.900000,3.950000,3.830000,3.870000,3.789898,147339987
2023-03-23,3.870000,3.940000,3.820000,3.920000,3.838863,154936211
2023-03-24,3.900000,3.910000,3.800000,3.800000,3.721347,166565624
2023-03-27,3.800000,3.820000,3.700000,3.740000,3.662589,152957561
