Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,27.200001,28.570000,26.879999,28.299999,28.249100,11300000
2023-01-04,28.209999,28.860001,28.100000,28.680000,28.628418,7476851
2023-01-05,28.559999,28.790001,28.420000,28.670000,28.618435,6724233
2023-01-06,28.680000,28.680000,28.280001,28.420000,28.368885,6878072
2023-01-09,28.540001,28.540001,27.980000,28.200001,28.149281,6913667
2023-01-10,28.200001,28.350000,28.020000,28.250000,28.199190,3806115
2023-01-11,28.350000,28.350000,27.920000,27.959999,27.909712,4175945
2023-01-12,28.010000,28.270000,27.830000,28.110001,28.059443,4138900
2023-01-13,28.110001,28.190001,27.700001,27.820000,27.769964,4945464
2023-01-16,27.870001,28.500000,27.709999,28.209999,28.159262,5829436
2023-01-17,28.299999,28.559999,28.170000,28.320000,28.269064,4846974
2023-01-18,28.320000,28.860001,28.110001,28.700001,28.648382,6034334
2023-01-19,28.700001,28.940001,28.559999,28.860001,28.808094,4651683
2023-01-20,28.959999,29.290001,28.730000,28.990000,28.937859,5732232
2023-01-30,29.400000,29.450001,28.820000,28.910000,28.858004,7223416
2023-01-31,29.500000,29.969999,29.080000,29.100000,29.047663,12389389
2023-02-01,30.000000,30.299999,29.219999,29.830000,29.776348,12556601
2023-02-02,30.100000,30.670000,29.750000,30.350000,30.295414,15688552
2023-02-03,30.379999,31.700001,30.299999,31.559999,31.503237,21736490
2023-02-06,31.930000,32.299999,31.350000,32.040001,31.982374,21355549
2023-02-07,32.570000,34.610001,32.500000,33.830002,33.769157,39873288
2023-02-08,34.209999,34.889999,33.000000,33.099998,33.040466,20606867
2023-02-09,33.000000,35.459999,32.250000,35.180000,35.116726,36872470
2023-02-10,35.200001,36.880001,34.349998,34.950001,34.887142,46895778
2023-02-13,35.290001,36.380001,34.830002,35.980000,35.915287,33537941
2023-02-14,35.580002,36.450001,34.790001,35.150002,35.086781,28198434
2023-02-15,34.860001,36.650002,34.599998,35.779999,35.715645,34029218
2023-02-16,35.529999,36.599998,34.700001,35.040001,34.976978,25396158
2023-02-17,34.830002,34.889999,33.169998,33.349998,33.290016,28433285
2023-02-20,33.400002,34.279999,33.299999,34.200001,34.138489,17724119
2023-02-21,34.200001,34.410000,33.529999,33.720001,33.659355,11523183
2023-02-22,33.570000,34.330002,33.380001,33.700001,33.639389,10989088
2023-02-23,33.549999,33.939999,33.349998,33.500000,33.439747,7605910
2023-02-24,33.770000,35.380001,33.770000,34.869999,34.807281,26228747
2023-02-27,34.759998,35.270000,34.389999,34.580002,34.517807,12327370
2023-02-28,35.880001,36.779999,35.009998,35.500000,35.436150,27987011
2023-03-01,35.509998,36.500000,35.299999,35.910000,35.845413,26757604
2023-03-02,35.799999,37.770000,35.660000,36.619999,36.554134,31634951
2023-03-03,35.669998,36.340000,35.080002,35.430000,35.366276,27396267
2023-03-06,35.250000,36.480000,35.250000,35.570000,35.506023,19342203
2023-03-07,35.310001,35.799999,34.369999,34.410000,34.348110,18415205
2023-03-08,34.500000,34.970001,34.000000,34.630001,34.567715,14643564
2023-03-09,34.310001,34.919998,33.980000,34.430000,34.368076,11646616
2023-03-10,34.049999,35.099998,33.959999,34.320000,34.258274,14109847
2023-03-13,34.209999,35.169998,33.740002,34.759998,34.697479,17362003
2023-03-14,34.430000,35.349998,33.549999,33.549999,33.489658,23481801
2023-03-15,33.860001,34.180000,32.720001,32.860001,32.800900,18357081
2023-03-16,32.630001,33.230000,32.360001,32.630001,32.571312,11881195
2023-03-17,32.880001,35.450001,32.799999,34.610001,34.547752,27024099
2023-03-20,34.650002,37.380001,34.619999,35.820000,35.755573,40527279
2023-03-21,36.000000,37.200001,35.119999,36.830002,36.763760,27890482
2023-03-22,36.950001,44.200001,36.950001,44.200001,44.120502,77700043
